"ID","SOA","score","predicted","SOA70","SOA110","SOA150","SOA230","block1","cape_score","Perspective","Stimulus_Type","Measurement","Score","Measurement_ownership","Measurement_agency","Measurement_location","fit","lwr","upr"
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"Third Person","Synchronous","agency",3,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"Third Person","Asynchronous","ownership",4.888888889,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"Third Person","Asynchronous","location",5.75,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",110,17,16.2920222995935,0,1,0,0,70,20,"Third Person","Asynchronous","agency",3,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"First Person","Synchronous","ownership",4.444444444,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"First Person","Synchronous","location",5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"First Person","Synchronous","agency",4,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"First Person","Asynchronous","ownership",4.222222222,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"First Person","Asynchronous","location",5.25,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"First Person","Asynchronous","agency",5,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"Third Person","Synchronous","ownership",3.333333333,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"Third Person","Synchronous","location",5.5,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"Third Person","Synchronous","agency",3,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"Third Person","Asynchronous","ownership",4.888888889,1,0,0,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"Third Person","Asynchronous","location",5.75,0,0,1,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",150,16,16.6432828037952,0,0,1,0,70,20,"Third Person","Asynchronous","agency",3,0,1,0,2.50980392155881,2.34549111561782,2.67411672749981
"cecsim01",230,18,17.3458038121986,0,0,0,1,70,20,"First Person","Synchronous","ownership",4.444444444,1,0,0,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",230,18,17.3458038121986,0,0,0,1,70,20,"First Person","Synchronous","location",5,0,0,1,2.83932461870587,2.67501181276487,3.00363742464687
"cecsim01",230,18,17.3458038121986,0,0,0,1,70,20,"First Person","Synchronous","agency",4,0,1,0,2.83932461870587,2.67501181276487,3.00363742464687
